"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2004","455",,"455","0","165","0","86","0","78",,"18","0","15","0","136","0","48","0","141","0","3","0","-10","0,0125,","11",",0,0129,+","6.0",",0,1223,","2.36",",0,0522,","90","0,0723,+","6686",,"6686","0","34.57",",0","54.6",",0","47.8","0","58.2","0","37.4","0"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2005","786",,"786","0","147","0","81","0","97",,"26","0","8","0","152","0","57","0","150","0","23","0","-8","0,0128,","11",",0,0302,+","6.0",",0,0123,","2.00",",0,1116,","94","0,0628,+","6720",,"6720","0","34.96",",0","93.4",",0","48.7","0","59.7","0","37.7","0"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2006","574",,"574","0","173","0","91","0","19",,"5","0","0","0","139","0","22","0","138","0","10","0","2","0,0219,+","4",",0,0212,+","4.1",",0,0205,","1.86",",0,0727,","95","0,0802,+","6191",,"6191","0","44.46",",0","25.3",",0","49.7","0","60.1","0","39.3","0"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2007","689",,"689","0","163","0","70","0","69",,"15","0","5","0","145","0","61","0","156","0","16","0","-7","0,0206,+","9",",0,1217,","7.7",",0,1216,","1.38",",0,0501,","95","0,0709,","6520",,"6520","0","34.41",",0","53.5",",0","48.8","0","59.6","0","38.0","0"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2008","527",,"527","0","169","0","88","0","83",,"29","0","4","0","158","0","55","0","153","0","9","0","-1","0,1222,+","10",",0,1224,","8.8",",0,0101,","2.24",",0,0914,","94","0,0904,","6712",,"6712","0","38.78",",0","95.9",",0","47.4","0","58.4","0","36.4","0"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2009","367",,"367","0","163","0","81","0","65",,"20","0","11","0","152","0","53","0","134","0","4","0","-13","0,0117,","12",",0,0130,+","5.7",",0,0111,","1.46",",0,0620,","94","0,0810,","7016",,"7016","0","37.91",",0","54.3",",0","47.1","0","58.1","0","36.1","0"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2010","791",,"791","0","145","0","69","0","75",,"12","0","0","0","155","0","57","0","149","0","14","0","2","0,0110,","12",",0,0227,+","8.7",",0,0210,","3.53",",0,0606,","95","0,0708,","6308",,"6308","0","39.76",",0","51.1",",0","49.6","0","60.2","0","39.0","0"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2011","758",,"758","K","176","K","93","K",,,,,"4","K","144","K","47","K","138","K","25","K","-5","K,0211,",,,,,"4.75",",K,0728,","98","K,0722,","6934",,"6934","K","51.20",",K",,,"48.8","K","59.3","K","38.3","K"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2012","821",,"821","7","150","7","74","7",,,,,"1","7","138","7","18","7","158","7","38","7","-1","7,0120,",,,,,"1.27",",7,0316,","100","7,0718,+","5613",,"5613","7","27.58",",7",,,"51.4","7","63.1","7","39.7","7"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2013","616",,"616","7","162","7","84","7",,,,,"2","7","158","7","57","7","146","7","14","7","-4","7,0122,",,,,,"2.93",",7,0813,","93","7,0911,+","6626",,"6626","7","40.88",",7",,,"47.6","7","57.8","7","37.4","7"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2014","465",,"465","7","168","7","87","7",,,,,"25","7","157","7","72","7","134","7","1","7","-15","7,0107,",,,,,"1.51",",7,0911,","92","7,0906,","7659",,"7659","7","34.30",",7",,,"45.4","7","56.1","7","34.7","7"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2015","551",,"551","7","162","7","72","7",,,,,"23","7","138","7","57","7","147","7","8","7","-18","7,0220,",,,,,"1.96",",7,0531,","92","7,0729,","7290",,"7290","7","34.73",",7",,,"48.0","7","59.0","7","37.0","7"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016","800",,"800","7","157","7","76","7","57",,"18","7","4","7","142","7","42","7","154","7","18","7","-4","7,0215,+","9",",7,1217,+","8.5",",7,1212,","2.19",",7,0731,","94","7,0724,","5919",,"5919","7","38.00",",7","59.7",",7","50.3","7","61.4","7","39.3","7"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2017","587",,"587","7","174","7","81","7","41",,"14","7","3","7","127","7","41","7","156","7","10","7","-10","7,1228,","10",",7,1214,","6.8",",7,1214,","1.49",",7,0331,","92","7,0924,+","5820",,"5820","7","38.63",",7","54.5",",7","49.8","7","60.4","7","39.1","7"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018","851",,"851","7","169","7","87","7","57",,"22","7","5","7","160","7","38","7","148","7","18","7","-7","7,0107,","12",",7,0211,+","7.8",",7,0302,","1.84",",7,0801,","95","7,0716,+","6741",,"6741","7","40.36",",7","64.5",",7","48.6","7","58.8","7","38.5","7"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2019","631",,"631","7","173","7","83","7","50",,"16","7","8","7","151","7","44","7","141","7","8","7","-18","7,0131,","9",",7,1112,","8.9",",7,1112,","4.08",",7,0717,","94","7,0721,","6923",,"6923","7","44.91",",7","53.6",",7","47.9","7","58.3","7","37.7","7"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","1892","563",,"563","6",,,,,,,,,"8","6","153","6","61","6","113","6","10","6","-15","6,1226,",,,,,,,"94","6,0809,+",,,,,,,,,"46.2","6","54.9","6","37.6","6"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","1893","509",,"509","6",,,,,,,,,"13","6","145","6","68","6","119","6","3","6","-11","6,0115,",,,,,,,"92","6,0810,","7404",,"7404","6",,,,,"45.3","6","54.3","6","36.3","6"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","1894","687",,"687","6",,,,,,,,,"5","6","128","6","43","6","128","6","17","6","-9","6,0224,",,,,,,,"97","6,0719,","6457",,"6457","6",,,,,"48.5","6","57.5","6","39.4","6"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","1895","796",,"796","6",,,,,,,,,"15","6","150","6","68","6","136","6","22","6","-10","6,0205,",,,,,,,"94","6,0707,+","7286",,"7286","6",,,,,"46.5","6","56.7","6","36.4","6"
